step,reward_score_ma30,response_length_ma30,clip_ratio_ma30
16,0.744401,4279.1294,0.194401
17,0.740625,4294.3488,0.196745
18,0.735417,4295.9509,0.20013
19,0.726823,4346.8411,0.208984
20,0.729167,4320.2246,0.205339
21,0.727604,4335.1986,0.207292
22,0.726562,4346.7073,0.209505
23,0.730078,4305.1018,0.202474
24,0.735026,4292.8102,0.199349
25,0.73724,4301.9622,0.198438
26,0.738281,4309.9741,0.198047
27,0.738932,4308.2303,0.197917
28,0.735677,4317.4978,0.198828
29,0.742708,4304.0152,0.19375
30,0.739193,4310.4568,0.194401
31,0.738932,4319.0898,0.195573
32,0.736198,4315.6766,0.197656
33,0.730729,4353.0195,0.201693
34,0.729036,4339.9978,0.201953
35,0.734115,4322.5426,0.198047
36,0.738021,4307.3604,0.19401
37,0.733854,4331.9888,0.197526
38,0.73151,4355.7872,0.199089
39,0.724349,4399.9184,0.205208
40,0.723047,4402.887,0.205859
41,0.724609,4400.7044,0.207031
42,0.723307,4407.5323,0.209896
43,0.727995,4384.8944,0.208854
44,0.725521,4408.1454,0.208854
45,0.728776,4394.6574,0.20599
46,0.732031,4368.2708,0.202474
47,0.73138,4367.7152,0.202344
48,0.735677,4351.8897,0.201042
49,0.744401,4287.1074,0.192318
50,0.744141,4304.0242,0.192839
51,0.747656,4265.0574,0.18737
52,0.750911,4242.8243,0.184245
53,0.748177,4267.0708,0.18763
54,0.748958,4251.7836,0.186719
55,0.752604,4221.7789,0.184505
56,0.753516,4198.0917,0.182552
57,0.757292,4182.6596,0.179688
58,0.758854,4173.6958,0.178906
59,0.754427,4182.9159,0.181641
60,0.759766,4150.8497,0.179036
61,0.760417,4150.0432,0.179167
62,0.765495,4134.1661,0.176953
63,0.767578,4096.7991,0.173568
64,0.770052,4073.0178,0.170052
65,0.771745,4062.6866,0.169531
66,0.774089,4057.5172,0.168229
67,0.772526,4059.0766,0.170573
68,0.771875,4041.6301,0.169531
69,0.776172,3991.0551,0.164714
70,0.771354,4021.2546,0.168359
71,0.771745,4042.7444,0.16875
72,0.773177,4030.3013,0.166146
73,0.771745,4040.7936,0.165755
74,0.773828,4022.8574,0.166146
75,0.771615,4033.1996,0.167578
76,0.764844,4056.9247,0.172786
77,0.765365,4059.0033,0.174219
78,0.763281,4076.4874,0.174349
79,0.759375,4094.7434,0.176172
80,0.757943,4089.5126,0.177474
81,0.758854,4097.553,0.17513
82,0.756771,4087.7285,0.175391
83,0.757552,4066.0833,0.173958
84,0.759635,4062.8904,0.171484
85,0.760026,4060.521,0.170833
86,0.757682,4091.6365,0.173307
87,0.749219,4125.566,0.179948
88,0.752083,4104.2186,0.177604
89,0.755339,4080.2043,0.175911
90,0.754297,4104.3777,0.176823
91,0.75026,4096.0717,0.177083
92,0.750651,4084.3022,0.174089
93,0.753255,4077.3491,0.172135
94,0.753385,4082.1393,0.173177
95,0.753516,4064.526,0.172135
96,0.749219,4078.9783,0.174219
97,0.749089,4046.0402,0.16849
98,0.755729,4016.6223,0.166536
99,0.757161,4012.629,0.164974
100,0.757943,3974.3357,0.163021
101,0.759505,3946.8092,0.161719
102,0.758073,3926.5926,0.160156
103,0.759245,3896.5943,0.158464
104,0.758854,3899.2776,0.158073
105,0.757031,3910.2936,0.161979
106,0.758594,3905.713,0.160026
107,0.75599,3895.254,0.159896
108,0.759115,3862.2562,0.157292
109,0.761198,3846.9552,0.157422
110,0.766276,3810.6611,0.152083
111,0.761589,3811.0217,0.154427
112,0.76276,3795.9388,0.151693
113,0.766927,3795.0562,0.149609
114,0.764062,3785.7423,0.152474
115,0.760547,3790.3583,0.153516
116,0.760156,3778.7217,0.154687
117,0.761849,3755.7633,0.152214
118,0.757812,3779.1272,0.156641
119,0.758203,3789.7482,0.157161
120,0.759115,3782.0301,0.157943
121,0.764062,3763.3007,0.153125
122,0.757552,3768.7832,0.15599
123,0.759896,3770.4484,0.155208
124,0.763021,3767.8589,0.152995
125,0.761719,3787.3525,0.155859
126,0.760417,3775.4829,0.156901
127,0.766146,3772.3624,0.155469
128,0.764714,3783.2896,0.157422
129,0.764583,3777.1568,0.158203
130,0.765885,3784.275,0.158594
131,0.764844,3804.4465,0.159896
132,0.765885,3800.0727,0.159505
133,0.766146,3808.0082,0.159115
134,0.767969,3789.3842,0.156771
135,0.76888,3791.3257,0.157292
136,0.771484,3786.8792,0.156771
137,0.779557,3748.1901,0.150781
138,0.781771,3722.1323,0.147005
139,0.780469,3730.5885,0.148438
140,0.776823,3765.6029,0.150911
141,0.783724,3740.1469,0.149219
142,0.784245,3735.9641,0.149089
143,0.783203,3727.5393,0.149479
144,0.785026,3721.7543,0.147135
145,0.789974,3688.0495,0.145052
146,0.788672,3694.4801,0.145573
147,0.788932,3695.6159,0.145052
148,0.788802,3693.0284,0.14401
149,0.785938,3685.2478,0.14375
150,0.783203,3684.3803,0.144531
151,0.780729,3705.1065,0.148698
152,0.785417,3690.0928,0.147005
153,0.784766,3694.937,0.147266
154,0.783464,3684.1533,0.147917
155,0.780469,3701.6237,0.15
156,0.783984,3678.4451,0.145052
157,0.782552,3680.9388,0.145443
158,0.777995,3681.0314,0.145312
159,0.777734,3678.4078,0.145052
160,0.78112,3659.3743,0.141536
161,0.783203,3614.4497,0.13763
162,0.786328,3610.207,0.136719
163,0.786198,3629.5444,0.13763
164,0.785547,3633.5648,0.13776
165,0.791667,3595.2297,0.132161
166,0.792318,3566.8342,0.128906
167,0.786198,3600.8113,0.134245
168,0.782812,3634.2126,0.138281
169,0.783203,3621.7646,0.136458
170,0.782682,3613.1,0.138021
171,0.775651,3643.2172,0.139974
172,0.777083,3633.3249,0.140234
173,0.776953,3651.26,0.141016
174,0.773698,3655.6408,0.140234
175,0.769271,3691.0534,0.144531
176,0.765885,3696.5932,0.144141
177,0.764844,3711.3844,0.145182
178,0.766406,3701.4784,0.14362
179,0.76901,3684.6771,0.141536
180,0.773958,3656.0908,0.136589
181,0.773438,3661.8757,0.138932
182,0.772656,3655.8145,0.138802
183,0.772135,3643.2414,0.139974
184,0.773438,3626.2335,0.138672
185,0.773958,3604.34,0.136979
186,0.779167,3561.6193,0.133333
187,0.773307,3553.3531,0.135938
188,0.777604,3545.6667,0.135417
189,0.779557,3528.3216,0.134766
190,0.778776,3532.2112,0.135677
191,0.77487,3559.9555,0.140234
192,0.770964,3581.2836,0.142969
193,0.767448,3585.001,0.145573
194,0.772266,3554.5413,0.142969
195,0.768229,3557.1742,0.14375
196,0.767188,3585.272,0.146875
197,0.763932,3577.1885,0.146875
198,0.76224,3580.3417,0.146615
199,0.762109,3582.4892,0.147656
200,0.761068,3579.5061,0.148828
201,0.757161,3587.6958,0.151953
202,0.755469,3611.4952,0.153255
203,0.75651,3580.4603,0.152995
204,0.757682,3583.8258,0.154557
205,0.757031,3588.4598,0.152865
206,0.763672,3544.7012,0.148438
207,0.763542,3523.7702,0.146354
208,0.763151,3542.1888,0.147786
209,0.761589,3537.6048,0.148047
210,0.758333,3545.3885,0.14987
211,0.761719,3521.9267,0.146745
212,0.761849,3549.6518,0.147526
213,0.759766,3544.3283,0.145052
214,0.754818,3556.5796,0.146094
215,0.759766,3531.5216,0.14349
216,0.755859,3559.5898,0.147005
217,0.761849,3560.4732,0.145312
218,0.765365,3542.629,0.142057
219,0.763542,3563.1385,0.14349
220,0.762891,3566.1585,0.144922
221,0.761719,3582.4794,0.143229
222,0.763021,3554.7404,0.140625
223,0.765625,3533.6198,0.136068
224,0.764714,3553.2049,0.137109
225,0.765755,3547.587,0.136198
226,0.770312,3514.9337,0.133333
227,0.773958,3506.5004,0.130469
228,0.775391,3491.9094,0.130339
229,0.779427,3468.1749,0.127474
230,0.779557,3443.6312,0.124479
231,0.790755,3393.2247,0.117969
232,0.791927,3374.032,0.117318
233,0.789062,3391.0466,0.119922
234,0.78776,3398.1121,0.120443
235,0.791016,3366.352,0.117578
236,0.789062,3391.6799,0.120312
237,0.790495,3386.0922,0.120443
238,0.792318,3336.8309,0.116927
239,0.794141,3345.3576,0.116276
240,0.794922,3370.9048,0.11849
241,0.792187,3385.2417,0.117839
242,0.794661,3370.7384,0.116536
243,0.80026,3355.5703,0.115755
244,0.806771,3336.8611,0.113281
245,0.805729,3344.6857,0.113542
246,0.804948,3336.7784,0.114323
247,0.806641,3330.0509,0.114583
248,0.802214,3345.7332,0.115234
249,0.798828,3337.6509,0.115365
250,0.801823,3310.0405,0.111589
251,0.803516,3294.7487,0.113932
252,0.798307,3308.6848,0.116536
253,0.799609,3297.9857,0.119401
254,0.79388,3310.457,0.121224
255,0.794401,3308.5346,0.120052
256,0.794141,3321.5749,0.119922
257,0.798177,3294.4223,0.117318
258,0.79987,3264.9966,0.111849
259,0.797266,3286.1832,0.113411
260,0.800781,3275.1221,0.110547
261,0.80026,3294.7174,0.112109
262,0.80013,3284.1241,0.110677
263,0.797135,3304.1194,0.111328
264,0.799349,3276.2023,0.108464
265,0.794531,3303.7056,0.113021
266,0.795443,3279.4758,0.1125
267,0.796224,3291.9189,0.113281
268,0.796354,3309.9042,0.115885
269,0.793359,3312.8038,0.119271
270,0.794792,3280.3422,0.115104
271,0.794401,3269.9772,0.115755
272,0.790365,3276.2906,0.118099
273,0.788281,3285.3841,0.120443
274,0.783984,3306.9471,0.123307
275,0.783594,3294.7319,0.122135
276,0.784115,3302.1319,0.121484
277,0.78112,3293.9112,0.122396
278,0.782682,3275.9163,0.121745
279,0.786198,3269.2354,0.118229
280,0.783724,3280.3078,0.120052
281,0.785547,3267.9931,0.116276
282,0.792057,3243.8642,0.1125
283,0.791927,3229.6786,0.109635
284,0.794141,3236.0587,0.108203
285,0.791146,3254.01,0.111328
286,0.788542,3266.1234,0.113021
287,0.783464,3302.0332,0.116536
288,0.783594,3300.3536,0.11875
289,0.777214,3312.7104,0.119271
290,0.778255,3303.7479,0.120312
291,0.778385,3296.4422,0.120833
292,0.779948,3288.4431,0.120052
293,0.781771,3269.6353,0.118359
294,0.782812,3284.6521,0.119271
295,0.782682,3278.6818,0.119141
296,0.783073,3271.5483,0.120182
297,0.783724,3244.1358,0.119141
298,0.779557,3262.4854,0.120443
299,0.779297,3262.7833,0.120052
300,0.776172,3274.6104,0.122786
301,0.777865,3270.1612,0.122917
302,0.779688,3262.6702,0.121094
303,0.775391,3288.0624,0.12474
304,0.774349,3279.3526,0.124349
305,0.774609,3299.6725,0.126042
306,0.772396,3316.2026,0.128776
307,0.773958,3324.2689,0.128906
308,0.773438,3343.2464,0.13125
309,0.772266,3372.9092,0.135938
310,0.771354,3393.2362,0.137891
311,0.767057,3421.8525,0.140755
312,0.765365,3443.3497,0.143099
313,0.76276,3452.9384,0.145052
314,0.765885,3413.5803,0.14375
315,0.767969,3398.3078,0.141536
316,0.76875,3371.9781,0.140365
317,0.771875,3358.8363,0.139323
318,0.770182,3361.0868,0.139323
319,0.775911,3343.7568,0.13737
320,0.775911,3360.1077,0.136979
321,0.772526,3383.3698,0.139323
322,0.767839,3405.4589,0.141406
323,0.766797,3411.4874,0.142318
324,0.765104,3424.8203,0.143359
325,0.768099,3432.912,0.142839
326,0.765234,3450.4046,0.141667
327,0.767708,3466.8651,0.141276
328,0.771745,3448.9905,0.139974
329,0.774349,3433.4835,0.139062
330,0.772526,3450.3982,0.141797
331,0.775911,3441.341,0.140755
332,0.774479,3449.9697,0.14362
333,0.777083,3416.143,0.138021
334,0.778385,3405.2668,0.1375
335,0.780339,3397.0927,0.136198
336,0.784375,3374.5758,0.132031
337,0.784505,3369.687,0.130078
338,0.784245,3350.9027,0.129427
339,0.785286,3326.3866,0.127344
340,0.785286,3300.6706,0.125651
341,0.789583,3286.0402,0.123438
342,0.792188,3269.0072,0.121224
343,0.79388,3282.3792,0.122396
344,0.791146,3294.016,0.121615
345,0.789844,3320.8934,0.123568
346,0.788672,3334.7896,0.125
347,0.790885,3316.5195,0.122266
348,0.795443,3313.7688,0.122656
349,0.795964,3331.0589,0.12487
350,0.794922,3337.5258,0.126823
351,0.795443,3328.5273,0.124349
352,0.796224,3325.0549,0.122786
353,0.801563,3302.3815,0.120182
354,0.801432,3297.9988,0.121615
355,0.800651,3257.4172,0.119531
356,0.801042,3263.5629,0.120703
357,0.797526,3290.2346,0.124479
358,0.797266,3287.7858,0.123698
359,0.794271,3312.2392,0.12487
360,0.798698,3284.3477,0.119922
361,0.791016,3312.8225,0.123177
362,0.791276,3313.4159,0.122396
363,0.792839,3313.566,0.124479
364,0.792188,3340.5418,0.126172
365,0.78776,3345.4462,0.127734
366,0.786979,3350.0845,0.129688
367,0.786068,3353.4747,0.129688
368,0.790104,3344.8848,0.128385
369,0.788672,3348.996,0.129036
370,0.786068,3367.2688,0.130599
371,0.785677,3359.3111,0.13125
372,0.782161,3385.0435,0.135286
373,0.785156,3367.8477,0.132812
374,0.781641,3396.388,0.138411
375,0.779688,3388.8344,0.138411
376,0.778906,3391.3742,0.13776
377,0.775781,3412.0267,0.141146
378,0.777214,3415.4633,0.139453
379,0.775651,3399.2845,0.138672
380,0.773698,3400.0224,0.138932
381,0.773828,3392.034,0.139583
382,0.772917,3394.6129,0.141016
383,0.770312,3401.0181,0.141146
384,0.768229,3408.2939,0.142578
385,0.772396,3420.9703,0.141146
386,0.775521,3420.6401,0.140234
387,0.778255,3380.353,0.136068
388,0.780208,3366.0794,0.133724
389,0.782422,3338.1318,0.13138
390,0.780469,3331.653,0.131901
391,0.783333,3303.6117,0.129036
392,0.785156,3287.9297,0.126693
393,0.782812,3316.7105,0.126172
394,0.780469,3313.1035,0.126953
395,0.783984,3307.2327,0.12513
396,0.783724,3309.9022,0.123568
397,0.779818,3326.466,0.126432
398,0.777474,3336.2789,0.125521
399,0.778255,3343.6224,0.125781
400,0.779167,3340.8719,0.125651
401,0.779427,3333.2697,0.125521
402,0.779688,3321.2997,0.123307
403,0.778125,3317.1711,0.122396
404,0.778776,3319.8858,0.120964
405,0.776823,3311.9842,0.121224
406,0.772917,3306.5874,0.122135
407,0.776172,3285.0965,0.120052
408,0.768229,3315.1638,0.123438
409,0.767188,3309.898,0.123307
410,0.766146,3323.9993,0.125651
411,0.763802,3328.5363,0.126432
412,0.76263,3339.3637,0.127344
413,0.760938,3329.8585,0.126042
414,0.765625,3296.7194,0.120964
415,0.763411,3297.2085,0.122135
416,0.76237,3284.1699,0.121224
417,0.758854,3304.5219,0.12487
418,0.757422,3315.9003,0.12487
419,0.758724,3309.2767,0.123568
420,0.761849,3296.273,0.121615
421,0.759766,3314.941,0.122917
422,0.759245,3307.5092,0.124089
423,0.760156,3295.3569,0.12474
424,0.764583,3274.8404,0.121354
425,0.765755,3250.3543,0.120052
426,0.763151,3252.7147,0.121224
427,0.765104,3248.9122,0.120964
428,0.758594,3282.0296,0.125391
429,0.760286,3267.6993,0.122396
430,0.760156,3267.1996,0.123177
431,0.757682,3279.6924,0.125391
432,0.758073,3274.3109,0.127083
433,0.757292,3279.009,0.128516
434,0.763411,3233.4178,0.125
435,0.769531,3215.2672,0.122786
436,0.772396,3206.1868,0.122526
437,0.772396,3212.6832,0.122135
438,0.773177,3201.7272,0.121615
439,0.774349,3211.8348,0.122135
440,0.78099,3186.3368,0.116797
441,0.784505,3176.9681,0.114062
442,0.789714,3157.9534,0.111458
443,0.795833,3142.5108,0.110547
444,0.795182,3140.0618,0.109896
445,0.793099,3129.8725,0.108203
446,0.79362,3122.4634,0.107812
447,0.791927,3119.5495,0.105078
448,0.790885,3123.9992,0.108203
449,0.78776,3152.975,0.110156
450,0.785547,3169.3678,0.11224
451,0.791146,3145.2794,0.109896
452,0.792708,3139.0807,0.107812
453,0.790495,3131.9905,0.108073
454,0.788021,3154.5926,0.111458
455,0.783203,3187.3197,0.114323
456,0.788411,3161.7996,0.112109
457,0.793099,3134.1355,0.107161
458,0.798698,3108.0297,0.104948
459,0.792448,3134.6497,0.109896
460,0.790365,3151.7656,0.109505
461,0.791536,3135.4628,0.105859
462,0.796354,3121.1581,0.102474
463,0.791536,3134.8109,0.101693
464,0.78737,3158.9194,0.105078
465,0.782682,3174.7292,0.107682
466,0.782812,3192.977,0.107292
467,0.778776,3197.879,0.108073
468,0.78099,3200.4095,0.108464
469,0.78151,3204.143,0.108464
470,0.777214,3220.8243,0.111328
471,0.775651,3219.4729,0.111198
472,0.776172,3221.284,0.111979
473,0.770703,3220.0003,0.111849
474,0.767448,3253.5346,0.115625
475,0.767188,3276.8191,0.116927
476,0.767578,3282.821,0.115755
477,0.769792,3288.415,0.116276
478,0.770703,3277.8016,0.113021
479,0.774349,3242.1633,0.110807
480,0.77513,3242.7931,0.111849
481,0.772396,3268.4255,0.114583
482,0.769661,3300.1632,0.117708
483,0.772396,3315.5293,0.117318
484,0.774219,3294.9293,0.115495
485,0.771354,3311.6135,0.11875
486,0.771224,3304.4259,0.117708
487,0.766667,3319.2251,0.119792
488,0.767188,3322.4902,0.119271
489,0.775391,3279.5633,0.113151
490,0.780469,3248.6699,0.110677
491,0.784505,3241.509,0.111328
492,0.778776,3271.1396,0.114583
493,0.783203,3273.7115,0.116536
494,0.785807,3263.7285,0.113672
495,0.792057,3243.8803,0.111979
496,0.79349,3239.9605,0.11237
497,0.794792,3239.6167,0.113411
498,0.798177,3207.553,0.110547
499,0.797917,3207.2143,0.110938
500,0.798958,3200.0164,0.109766
501,0.797005,3213.9311,0.111719
502,0.792708,3222.0971,0.111458
503,0.79401,3230.9732,0.113411
504,0.795052,3207.5272,0.111849
505,0.798698,3182.6832,0.111589
506,0.795312,3183.7327,0.112109
507,0.798828,3158.1385,0.110156
508,0.796224,3171.7129,0.11263
509,0.79401,3185.4365,0.114323
510,0.792057,3196.4156,0.11276
511,0.791667,3196.9736,0.1125
512,0.796484,3161.351,0.109766
513,0.795703,3138.2147,0.108724
514,0.79362,3142.8671,0.109766
515,0.798307,3127.5655,0.10612
516,0.790495,3189.4658,0.114323
517,0.79375,3169.744,0.113411
518,0.794661,3169.7173,0.114193
519,0.79362,3185.0164,0.115365
520,0.792969,3177.7076,0.115104
521,0.790625,3197.7806,0.115495
522,0.791536,3193.5129,0.115104
523,0.788932,3185.4958,0.115104
524,0.787109,3194.8096,0.116146
525,0.785547,3209.1359,0.116536
526,0.7875,3181.0324,0.113281
527,0.785156,3174.7225,0.11224
528,0.778516,3233.8844,0.115755
529,0.780339,3211.4767,0.113672
530,0.779948,3227.4139,0.116146
531,0.779036,3232.2897,0.117188
532,0.782943,3219.481,0.117708
533,0.784245,3226.9733,0.117969
534,0.781641,3256.3018,0.119661
535,0.78138,3270.4409,0.119401
536,0.782292,3280.1156,0.122266
537,0.779036,3293.5779,0.123958
538,0.777344,3317.2184,0.125391
539,0.778646,3323.0898,0.12474
540,0.77526,3339.563,0.128516
541,0.777734,3322.8833,0.127214
542,0.775651,3334.61,0.127865
543,0.776693,3340.0844,0.128385
544,0.780859,3327.9973,0.126302
545,0.783073,3305.3091,0.12487
546,0.789193,3276.9941,0.120443
547,0.787891,3306.4913,0.122656
548,0.786458,3315.4298,0.122266
549,0.786589,3305.6499,0.121615
550,0.78737,3329.8512,0.123568
551,0.789714,3317.9096,0.122526
552,0.792448,3294.9711,0.119922
553,0.792318,3312.6185,0.120443
554,0.790234,3322.7815,0.121875
555,0.792708,3321.6371,0.120833
556,0.790495,3344.5359,0.123047
557,0.795052,3351.1603,0.124219
558,0.80026,3318.5306,0.122917
559,0.794401,3364.0083,0.128125
560,0.795703,3345.4678,0.125521
561,0.799089,3329.7072,0.123828
562,0.79362,3331.702,0.124219
563,0.791927,3338.8608,0.123568
564,0.790755,3322.3264,0.12487
565,0.786849,3333.9073,0.127865
566,0.788542,3296.9348,0.12526
567,0.791016,3291.3277,0.12526
568,0.79362,3274.3546,0.12526
569,0.79375,3287.2678,0.127344
570,0.801432,3226.1391,0.121615
571,0.796875,3242.2142,0.124219
572,0.797786,3240.0569,0.122266
573,0.798047,3237.5938,0.121094
574,0.791667,3252.8053,0.124479
575,0.788802,3272.6414,0.126432
576,0.788932,3271.1777,0.12513
577,0.78776,3274.9617,0.125781
578,0.788672,3272.2733,0.126562
579,0.785156,3289.9142,0.129688
580,0.782422,3286.4341,0.129036
581,0.782943,3272.4312,0.127995
582,0.777734,3303.853,0.132422
583,0.777214,3298.428,0.133464
584,0.776693,3308.3047,0.135417
585,0.77474,3301.9328,0.136068
586,0.767057,3328.104,0.140885
587,0.763932,3340.4352,0.141016
588,0.758984,3361.3533,0.142057
589,0.759635,3366.6962,0.141146
590,0.75638,3369.6811,0.142318
591,0.756771,3365.8237,0.141536
592,0.76276,3359.0112,0.139714
593,0.761589,3357.3707,0.142188
594,0.764974,3363.3896,0.139974
595,0.767187,3347.0186,0.1375
596,0.7625,3410.0512,0.142057
597,0.76237,3404.8895,0.141406
598,0.760547,3401.0081,0.140495
599,0.757682,3402.0583,0.138281
600,0.757031,3446.2888,0.140625
601,0.762109,3420.0859,0.13763
602,0.75651,3436.235,0.141536
603,0.758073,3423.0509,0.139844
604,0.760547,3420.593,0.13776
605,0.757422,3434.6178,0.140885
606,0.753125,3452.8004,0.145833
607,0.754297,3436.5258,0.145052
608,0.752214,3438.6,0.145052
609,0.755599,3432.4151,0.14349
610,0.754688,3448.123,0.146224
611,0.748177,3473.7949,0.148698
612,0.748177,3466.9516,0.148177
613,0.75,3449.3141,0.147266
614,0.754688,3388.0603,0.141536
615,0.752995,3397.3594,0.140625
616,0.757682,3385.6267,0.138411
617,0.760677,3360.2534,0.135286
618,0.764844,3326.6038,0.133203
619,0.772266,3271.2846,0.128385
620,0.77526,3257.9312,0.128255
621,0.775781,3257.4378,0.129557
622,0.776302,3245.8409,0.128776
623,0.777865,3248.6298,0.127214
624,0.780078,3236.9047,0.126693
625,0.778906,3231.3393,0.127604
626,0.782812,3204.627,0.125
627,0.783464,3209.907,0.125521
628,0.78724,3195.5105,0.12487
629,0.78724,3214.9393,0.128516
630,0.783854,3213.9036,0.129948
631,0.78125,3221.8514,0.129557
632,0.786849,3201.6716,0.125391
633,0.783724,3223.7842,0.127995
634,0.785026,3235.4176,0.128906
635,0.791536,3211.4426,0.125
636,0.792318,3200.2786,0.121094
637,0.794531,3206.671,0.119401
638,0.795573,3190.9939,0.11862
639,0.796224,3172.038,0.117057
640,0.798828,3154.9871,0.114844
641,0.800391,3154.143,0.115885
642,0.799609,3160.3725,0.115234
643,0.802083,3167.4073,0.113151
644,0.797917,3211.182,0.116406
645,0.798698,3212.3408,0.117839
646,0.801562,3171.9001,0.113542
647,0.799609,3184.9109,0.113802
648,0.798958,3178.4312,0.114974
649,0.795573,3193.6048,0.116797
650,0.792318,3215.4491,0.116667
